70,67
70,68
70,66
70,69
70,67
70,68
70,66
70,69
70,65
70,68
70,72
70,64
70,63
70,71
70,67
70,66
70,70
70,69
70,65
70,68
65,61
65,62
65,60
65,63
65,61
65,62
65,60
65,63
65,59
65,62
65,64
65,57
65,58
65,64
65,61
65,59
65,65
65,66
65,58
65,62
60,57
60,55
60,56
60,55
60,58
60,57
60,58
60,57
60,56
60,58
60,59
60,54
60,54
60,60
60,59
60,52
60,59
60,58
60,53
60,57
55,52
55,53
55,51
55,54
55,52
55,53
55,51
55,54
55,50
55,53
55,49
55,55
55,56
55,52
55,50
55,57
55,53
55,52
55,54
55,51
50,46
50,47
50,45
50,48
50,46
50,47
50,45
50,48
50,44
50,47
50,49
50,43
50,48
50,49
50,44
50,46
50,42
50,50
50,48
50,47
45,40
45,43
45,39
45,44
45,40
45,42
45,39
45,43
45,44
45,41
45,45
45,38
45,36
45,47
45,39
45,40
45,42
45,41
45,37
45,43
40,37
40,38
40,36
40,39
40,37
40,38
40,36
40,39
40,35
40,38
40,41
40,34
40,33
40,42
40,35
40,37
40,36
40,39
40,34
40,37
35,32
35,33
35,31
35,34
35,32
35,33
35,31
35,34
35,30
35,33
35,36
35,29
35,28
35,37
35,32
35,31
35,33
35,32
35,29
35,34
